Band,Frequency_MHz,Core,Material,Core_OD_mm,Turns_Primary,Turns_Secondary,Wire_Type,Wire_AWG,Wire_Length_inches,Winding_Style,Max_Power_W,Impedance_Transformation,Insertion_Loss_dB,Primary_Application,Comments
160M,1.8,FT-240-43×2,43 (µ=850),61×2,3,21,"#14 enameled",14,190,"Bifilar primary + secondary","400","2450Ω-unbal → 50Ω-unbal (49:1)","0.50","End-fed half-wave (EFHW) antennas, multiband","Two FT-240-43 cores stacked. Exact 3:21 ratio = (1/7)² turns = 49:1 impedance. Classic EFHW design."
80M,3.75,FT-240-43,43 (µ=850),61,3,21,"#14 enameled",14,180,"Bifilar primary + secondary","450","2450Ω-unbal → 50Ω-unbal (49:1)","0.40","End-fed half-wave (EFHW) antennas, multiband","Single FT-240-43 adequate. Exact 3:21 turns. Works 80M-10M with <2:1 SWR on most bands."
40M,7.15,FT-240-43,43 (µ=850),61,3,21,"#14 enameled",14,180,"Bifilar primary + secondary","450","2450Ω-unbal → 50Ω-unbal (49:1)","0.30","End-fed half-wave (EFHW) antennas, multiband","Exact 3:21 turns. Optimized for 40M-10M EFHW coverage. Most popular EFHW configuration."
30M,10.125,FT-240-43,43 (µ=850),61,3,21,"#14 enameled",14,180,"Bifilar primary + secondary","450","2450Ω-unbal → 50Ω-unbal (49:1)","0.28","End-fed half-wave (EFHW) antennas, multiband","Three-to-twenty-one. Solid impedance match across 30M-10M."
20M,14.2,FT-140-43,43 (µ=850),35.6,3,21,"#16 enameled",16,160,"Bifilar primary + secondary","280","2450Ω-unbal → 50Ω-unbal (49:1)","0.25","End-fed half-wave (EFHW) antennas, multiband","FT-140-43 adequate for EFHW. Exact 3:21 turns. Compact."
17M,18.1,FT-140-43,43 (µ=850),35.6,3,21,"#16 enameled",16,160,"Bifilar primary + secondary","280","2450Ω-unbal → 50Ω-unbal (49:1)","0.22","End-fed half-wave (EFHW) antennas, multiband","Same as 20M. Broad multiband coverage."
15M,21.2,FT-140-43,43 (µ=850),35.6,3,21,"#16 enameled",16,160,"Bifilar primary + secondary","280","2450Ω-unbal → 50Ω-unbal (49:1)","0.20","End-fed half-wave (EFHW) antennas, multiband","Three-to-twenty-one. Excellent bandwidth for EFHW."
12M,24.93,FT-140-43,43 (µ=850),35.6,3,21,"#16 enameled",16,160,"Bifilar primary + secondary","280","2450Ω-unbal → 50Ω-unbal (49:1)","0.18","End-fed half-wave (EFHW) antennas, multiband","Three-to-twenty-one. Good to 12M."
10M,28.4,FT-140-43,43 (µ=850),35.6,3,21,"#16 enameled",16,160,"Bifilar primary + secondary","280","2450Ω-unbal → 50Ω-unbal (49:1)","0.17","End-fed half-wave (EFHW) antennas, multiband","Three-to-twenty-one. Upper HF limit for EFHW."
6M,51.0,FT-140-61,61 (µ=125),35.6,2,14,"#18 enameled",18,120,"Bifilar primary + secondary","200","2450Ω-unbal → 50Ω-unbal (49:1)","0.25","Rare EFHW application at VHF; end-fed loops","FT-140-61 for VHF. Two-to-fourteen turns (2:1 ratio ≠ exact 49:1, impedance ~25:1). Approximation."
2M,145.0,FT-140-61,61 (µ=125),35.6,1,7,"#20 enameled",20,60,"Bifilar primary + secondary","150","2450Ω-unbal → 50Ω-unbal (49:1)","0.20","Primarily theoretical at 2M; end-fed loop only","One-to-seven turns. L dominates impedance (not impedance transformation)."
1.25M,223.0,"Air-core (2-inch)",—,50,3,21,"#20 enameled",20,130,"Bifilar air-core transmission line","80","2450Ω-unbal → 50Ω-unbal (49:1)","0.08","Not practical; use coaxial or lumped designs instead.","Air-core design becomes bulky and difficult to tune at VHF."
70cm,432.0,"Air-core (1.5-inch)",—,38,2,14,"#22 enameled",22,90,"Bifilar air-core transmission line","60","2450Ω-unbal → 50Ω-unbal (49:1)","0.06","Not recommended; consider lumped-element designs.","Difficult to wind and tune at UHF."
33cm,902.0,"Not practical",—,—,—,—,"—",—,"—","Not recommended","Not recommended","Impedance transformation requires lumped elements or microstrip design.","Transformer ununs infeasible at this frequency."
20cm,1296.0,"Not practical",—,—,—,—,"—",—,"—","Not recommended","Not recommended","Lumped-element or stripline unun required.","Wire-wound toroids obsolete above ~1 GHz."
