Band,Frequency_MHz,Core,Material,Core_OD_mm,Turns_Primary,Turns_Secondary,Wire_Type,Wire_AWG,Wire_Length_inches,Winding_Style,Max_Power_W,Impedance_Transformation,Insertion_Loss_dB,Primary_Application,Comments
160M,1.8,FT-240-43×2,43 (µ=850),61×2,5,40,"#14 enameled",14,200,"Bifilar primary + secondary","400","3200Ω-unbal → 50Ω-unbal (64:1)","0.50","Extreme high-impedance antennas, QRP only","Two FT-240-43 cores stacked. 5:40 ratio = (1/8)² turns = 64:1 impedance. Rare specialization."
80M,3.75,FT-240-43,43 (µ=850),61,5,40,"#14 enameled",14,190,"Bifilar primary + secondary","450","3200Ω-unbal → 50Ω-unbal (64:1)","0.42","Extreme high-impedance antennas, QRP only","Single FT-240-43 adequate. 5:40 turns. Specialized HF matching."
40M,7.15,FT-240-43,43 (µ=850),61,4,32,"#14 enameled",14,160,"Bifilar primary + secondary","450","3200Ω-unbal → 50Ω-unbal (64:1)","0.30","Extreme high-impedance antennas, QRP only","Four-to-thirty-two turns. 8:1 turns ratio = 64:1 impedance."
30M,10.125,FT-240-43,43 (µ=850),61,4,32,"#14 enameled",14,160,"Bifilar primary + secondary","450","3200Ω-unbal → 50Ω-unbal (64:1)","0.26","Extreme high-impedance antennas, QRP only","Four-to-thirty-two. Coverage 30M-10M."
20M,14.2,FT-140-43,43 (µ=850),35.6,3,24,"#16 enameled",16,130,"Bifilar primary + secondary","200","3200Ω-unbal → 50Ω-unbal (64:1)","0.22","Extreme high-impedance antennas, QRP only","FT-140-43. Three-to-twenty-four (8:1 ratio). Compact."
17M,18.1,FT-140-43,43 (µ=850),35.6,3,24,"#16 enameled",16,130,"Bifilar primary + secondary","200","3200Ω-unbal → 50Ω-unbal (64:1)","0.19","Extreme high-impedance antennas, QRP only","Same as 20M. Broad coverage."
15M,21.2,FT-140-43,43 (µ=850),35.6,3,24,"#16 enameled",16,130,"Bifilar primary + secondary","200","3200Ω-unbal → 50Ω-unbal (64:1)","0.17","Extreme high-impedance antennas, QRP only","Three-to-twenty-four. Excellent match for extreme Z."
12M,24.93,FT-140-43,43 (µ=850),35.6,3,24,"#16 enameled",16,130,"Bifilar primary + secondary","200","3200Ω-unbal → 50Ω-unbal (64:1)","0.15","Extreme high-impedance antennas, QRP only","Three-to-twenty-four. Good to 12M."
10M,28.4,FT-140-43,43 (µ=850),35.6,2,16,"#16 enameled",16,100,"Bifilar primary + secondary","200","3200Ω-unbal → 50Ω-unbal (64:1)","0.14","Extreme high-impedance antennas, QRP only","Two-to-sixteen (8:1 ratio). Upper HF limit."
6M,51.0,FT-140-61,61 (µ=125),35.6,2,16,"#18 enameled",18,100,"Bifilar primary + secondary","150","3200Ω-unbal → 50Ω-unbal (64:1)","0.22","Rare VHF application; extreme-Z loop antennas","FT-140-61 for VHF. Two-to-sixteen. Specialization."
2M,145.0,FT-140-61,61 (µ=125),35.6,1,8,"#20 enameled",20,65,"Bifilar primary + secondary","100","3200Ω-unbal → 50Ω-unbal (64:1)","0.18","Primarily theoretical at 2M","One-to-eight turns. L dominates impedance."
1.25M,223.0,"Air-core (2-inch)",—,50,3,24,"#20 enameled",20,140,"Bifilar air-core transmission line","50","3200Ω-unbal → 50Ω-unbal (64:1)","0.10","Not practical; use lumped-element designs instead.","Air-core design becomes impractical."
70cm,432.0,"Air-core (1.5-inch)",—,38,2,16,"#22 enameled",22,100,"Bifilar air-core transmission line","40","3200Ω-unbal → 50Ω-unbal (64:1)","0.07","Not recommended; use lumped elements.","Very difficult to wind at UHF."
33cm,902.0,"Not practical",—,—,—,—,"—",—,"—","Not recommended","Not recommended","Impedance transformation requires lumped elements or microstrip design.","Transformer ununs infeasible at this frequency."
20cm,1296.0,"Not practical",—,—,—,—,"—",—,"—","Not recommended","Not recommended","Lumped-element or stripline unun required.","Wire-wound toroids obsolete above ~1 GHz."
