Band,Frequency_MHz,Core,Material,Core_OD_mm,Turns_Primary,Turns_Secondary,Wire_Type,Wire_AWG,Wire_Length_inches,Winding_Style,Max_Power_W,Impedance_Transformation,Insertion_Loss_dB,Primary_Application,Comments
160M,1.8,FT-240-43×2,43 (µ=850),61×2,5,20,"#14 enameled",14,180,"Bifilar primary + secondary","400","800Ω-unbal → 50Ω-unbal (16:1)","0.45","Long-wire antennas, 800Ω feedpoints","Two FT-240-43 cores stacked. 5:20 ratio = (1/4)² turns = 16:1 impedance. Excellent for 160M longwires."
80M,3.75,FT-240-43,43 (µ=850),61,5,20,"#14 enameled",14,170,"Bifilar primary + secondary","450","800Ω-unbal → 50Ω-unbal (16:1)","0.35","Long-wire antennas, 800Ω feedpoints","Single FT-240-43. Standard 16:1 unun for long-wire antennas. Broad HF coverage."
40M,7.15,FT-240-43,43 (µ=850),61,4,16,"#14 enameled",14,150,"Bifilar primary + secondary","450","800Ω-unbal → 50Ω-unbal (16:1)","0.25","Long-wire antennas, 800Ω feedpoints","Four-to-sixteen turns. 4:1 turns ratio = 16:1 impedance."
30M,10.125,FT-240-43,43 (µ=850),61,4,16,"#14 enameled",14,150,"Bifilar primary + secondary","450","800Ω-unbal → 50Ω-unbal (16:1)","0.22","Long-wire antennas, 800Ω feedpoints","Four-to-sixteen. Optimized for 30M-10M coverage."
20M,14.2,FT-140-43,43 (µ=850),35.6,3,12,"#16 enameled",16,120,"Bifilar primary + secondary","280","800Ω-unbal → 50Ω-unbal (16:1)","0.20","Long-wire antennas, broadband matching","FT-140-43 adequate. Three-to-twelve (4:1 ratio). Compact."
17M,18.1,FT-140-43,43 (µ=850),35.6,3,12,"#16 enameled",16,120,"Bifilar primary + secondary","280","800Ω-unbal → 50Ω-unbal (16:1)","0.17","Long-wire antennas, broadband matching","Same as 20M (multi-band). Broad 20M-10M coverage."
15M,21.2,FT-140-43,43 (µ=850),35.6,3,12,"#16 enameled",16,120,"Bifilar primary + secondary","280","800Ω-unbal → 50Ω-unbal (16:1)","0.15","Long-wire antennas, broadband matching","Three-to-twelve. Excellent bandwidth."
12M,24.93,FT-140-43,43 (µ=850),35.6,3,12,"#16 enameled",16,120,"Bifilar primary + secondary","280","800Ω-unbal → 50Ω-unbal (16:1)","0.13","Long-wire antennas, broadband matching","Three-to-twelve. Good to 12M."
10M,28.4,FT-140-43,43 (µ=850),35.6,3,12,"#16 enameled",16,120,"Bifilar primary + secondary","280","800Ω-unbal → 50Ω-unbal (16:1)","0.12","Long-wire antennas, broadband matching","Three-to-twelve. Upper HF limit."
6M,51.0,FT-140-61,61 (µ=125),35.6,2,8,"#18 enameled",18,90,"Bifilar primary + secondary","200","800Ω-unbal → 50Ω-unbal (16:1)","0.18","Rare at VHF; some long-wire designs","FT-140-61 for VHF. Two-to-eight turns (Z ratio ~16, adequate)."
2M,145.0,FT-140-61,61 (µ=125),35.6,1,4,"#20 enameled",20,45,"Bifilar primary + secondary","150","800Ω-unbal → 50Ω-unbal (16:1)","0.12","Primarily theoretical at 2M","One-to-four turns. Tight windings. L dominates impedance."
1.25M,223.0,"Air-core (2-inch)",—,50,3,12,"#20 enameled",20,110,"Bifilar air-core transmission line","80","800Ω-unbal → 50Ω-unbal (16:1)","0.07","Not practical; use coaxial designs instead.","Air-core design becomes bulky at VHF."
70cm,432.0,"Air-core (1.5-inch)",—,38,2,8,"#22 enameled",22,70,"Bifilar air-core transmission line","60","800Ω-unbal → 50Ω-unbal (16:1)","0.05","Not recommended; consider lumped-element designs.","Difficult to wind at UHF."
33cm,902.0,"Not practical",—,—,—,—,"—",—,"—","Not recommended","Not recommended","Impedance transformation requires lumped elements or microstrip design.","Transformer ununs infeasible at this frequency."
20cm,1296.0,"Not practical",—,—,—,—,"—",—,"—","Not recommended","Not recommended","Lumped-element or stripline unun required.","Wire-wound toroids obsolete above ~1 GHz."
